Prev_System_Strategy,Prev_User_Resistance,Curr_System_Strategy,Total_Count,Success_Count,Win_Rate,Most_Common_Next_User_Reaction,Next_User_Reaction_Prob
Credibility Appeal,Information Inquiry,Personal Story,1,1,1.0,Information Inquiry,1.0
Foot in the Door,Personal Choice,Personal Related Inquiry,1,1,1.0,Others,1.0
Personal Related Inquiry,Others,Logical Appeal,1,1,1.0,Hesitance,1.0
Logical Appeal,Hesitance,Donation Information,1,1,1.0,Donate,1.0
Self Modeling,Personal Choice,Personal Story,1,1,1.0,Information Inquiry,1.0
Credibility Appeal,Hesitance,Logical Appeal,1,1,1.0,Donate,1.0
Self Modeling,Hesitance,Task Related Inquiry,1,0,0.0,Information Inquiry,1.0
Task Related Inquiry,Information Inquiry,Donation Information,1,0,0.0,Hesitance,1.0
Donation Information,Hesitance,Logical Appeal,1,0,0.0,Personal Choice,1.0
Logical Appeal,Personal Choice,Personal Related Inquiry,1,0,0.0,Personal Choice,1.0
Greeting,Hesitance,Foot in the Door,1,0,0.0,Information Inquiry,1.0
Donation Information,Source Derogation,Credibility Appeal,1,0,0.0,Hesitance,1.0
Foot in the Door,Self Pity,Personal Story,1,0,0.0,Personal Choice,1.0
Personal Story,Personal Choice,Source Related Inquiry,1,0,0.0,Hesitance,1.0
Self Modeling,Hesitance,Logical Appeal,1,0,0.0,Hesitance,1.0
Logical Appeal,Hesitance,Self Modeling,1,0,0.0,Hesitance,1.0
Personal Related Inquiry,Hesitance,Foot in the Door,1,0,0.0,Hesitance,1.0
Foot in the Door,Hesitance,Logical Appeal,1,0,0.0,Information Inquiry,1.0
Logical Appeal,Information Inquiry,Source Related Inquiry,1,0,0.0,Information Inquiry,1.0
Logical Appeal,Information Inquiry,Donation Information,1,0,0.0,Hesitance,1.0
Donation Information,Hesitance,Personal Story,1,0,0.0,Personal Choice,1.0
Personal Story,Personal Choice,Foot in the Door,1,0,0.0,Hesitance,1.0
Foot in the Door,Hesitance,Source Related Inquiry,1,0,0.0,Personal Choice,1.0
Source Related Inquiry,Personal Choice,Credibility Appeal,1,0,0.0,Hesitance,1.0
Personal Related Inquiry,Personal Choice,Foot in the Door,1,0,0.0,Hesitance,1.0
Personal Related Inquiry,Hesitance,Task Related Inquiry,1,0,0.0,Personal Choice,1.0
Task Related Inquiry,Personal Choice,Self Modeling,1,0,0.0,Personal Choice,1.0
Self Modeling,Personal Choice,Emotion Appeal,1,0,0.0,Hesitance,1.0
Foot in the Door,Others,Foot in the Door,1,0,0.0,Hesitance,1.0
Foot in the Door,Hesitance,Task Related Inquiry,1,0,0.0,Others,1.0
Self Modeling,Personal Choice,Task Related Inquiry,1,0,0.0,Others,1.0
Credibility Appeal,Self Pity,Foot in the Door,1,0,0.0,Hesitance,1.0
Personal Story,Personal Choice,Logical Appeal,1,0,0.0,Counter Argument,1.0
Logical Appeal,Counter Argument,Self Modeling,1,0,0.0,Hesitance,1.0
Self Modeling,Hesitance,Donation Information,1,0,0.0,Hesitance,1.0
Donation Information,Hesitance,Task Related Inquiry,1,0,0.0,Information Inquiry,1.0
Task Related Inquiry,Information Inquiry,Personal Story,1,0,0.0,Hesitance,1.0
Personal Story,Hesitance,Credibility Appeal,1,0,0.0,Hesitance,1.0
Personal Related Inquiry,Personal Choice,Source Related Inquiry,1,0,0.0,Information Inquiry,1.0
Personal Story,Hesitance,Self Modeling,1,0,0.0,Personal Choice,1.0
Personal Related Inquiry,Personal Choice,Logical Appeal,1,0,0.0,Information Inquiry,1.0
Logical Appeal,Information Inquiry,Logical Appeal,1,0,0.0,Personal Choice,1.0
Logical Appeal,Personal Choice,Logical Appeal,1,0,0.0,Others,1.0
