Prev_System_Strategy,Prev_User_Resistance,Curr_System_Strategy,Total_Count,Success_Count,Win_Rate,Most_Common_Next_User_Reaction,Next_User_Reaction_Prob
Personal Story,Hesitance,Self Modeling,1,1,1.0,Donate,1.0
Greeting,Self Pity,Emotion Appeal,1,1,1.0,Information Inquiry,1.0
Foot in the Door,Self Pity,Self Modeling,1,1,1.0,Self-assertion,1.0
Self Modeling,Self-assertion,Personal Story,1,1,1.0,Hesitance,1.0
Personal Story,Hesitance,Source Related Inquiry,1,1,1.0,Hesitance,1.0
Task Related Inquiry,Personal Choice,Personal Related Inquiry,1,0,0.0,Hesitance,1.0
Personal Related Inquiry,Hesitance,Foot in the Door,1,0,0.0,Others,1.0
Personal Story,Information Inquiry,Foot in the Door,1,0,0.0,Hesitance,1.0
Task Related Inquiry,Hesitance,Personal Story,1,0,0.0,Personal Choice,1.0
Personal Story,Personal Choice,Emotion Appeal,1,0,0.0,Self Pity,1.0
Source Related Inquiry,Personal Choice,Task Related Inquiry,1,0,0.0,Hesitance,1.0
Greeting,Hesitance,Emotion Appeal,1,0,0.0,Information Inquiry,1.0
Self Modeling,Hesitance,Personal Related Inquiry,1,0,0.0,Personal Choice,1.0
Personal Related Inquiry,Personal Choice,Personal Story,1,0,0.0,Personal Choice,1.0
Donation Information,Source Derogation,Credibility Appeal,1,0,0.0,Hesitance,1.0
Credibility Appeal,Hesitance,Self Modeling,1,0,0.0,Hesitance,1.0
Self Modeling,Hesitance,Foot in the Door,1,0,0.0,Information Inquiry,1.0
Personal Story,Hesitance,Task Related Inquiry,1,0,0.0,Information Inquiry,1.0
Task Related Inquiry,Information Inquiry,Source Related Inquiry,1,0,0.0,Hesitance,1.0
Personal Story,Personal Choice,Self Modeling,1,0,0.0,Personal Choice,1.0
Self Modeling,Personal Choice,Foot in the Door,1,0,0.0,Personal Choice,1.0
Foot in the Door,Personal Choice,Foot in the Door,1,0,0.0,Hesitance,1.0
Task Related Inquiry,Information Inquiry,Donation Information,1,0,0.0,Hesitance,1.0
Donation Information,Hesitance,Personal Story,1,0,0.0,Hesitance,1.0
Donation Information,Hesitance,Credibility Appeal,1,0,0.0,Hesitance,1.0
Personal Story,Self Pity,Foot in the Door,1,0,0.0,Personal Choice,1.0
Self Modeling,Hesitance,Source Related Inquiry,1,0,0.0,Hesitance,1.0
Foot in the Door,Hesitance,Personal Story,1,0,0.0,Hesitance,1.0
Donation Information,Hesitance,Self Modeling,1,0,0.0,Personal Choice,1.0
Emotion Appeal,Hesitance,Foot in the Door,1,0,0.0,Self Pity,1.0
Foot in the Door,Self Pity,Foot in the Door,1,0,0.0,Information Inquiry,1.0
Foot in the Door,Information Inquiry,Source Related Inquiry,1,0,0.0,Hesitance,1.0
Donation Information,Personal Choice,Credibility Appeal,1,0,0.0,Personal Choice,1.0
Credibility Appeal,Personal Choice,Self Modeling,1,0,0.0,Hesitance,1.0
Self Modeling,Hesitance,Self Modeling,1,0,0.0,Personal Choice,1.0
Foot in the Door,Personal Choice,Personal Story,1,0,0.0,Hesitance,1.0
