Experiment,Outcome,Turn,Phase,User_ID,Prev_Sys_Spec,Prev_User_Spec,Curr_Sys_Spec,Triplet,H_state,H_action,H_coupled,Delta_H_state,Delta_H_action,Delta_H_coupled,Dissonance
Qwen3-8B,Success,4,Mid (4-6),persona_36,Donation Information,Hesitance,Foot in the Door,Donation Information -> Hesitance -> Foot in the Door,0.4464660074198379,0.09151169900188312,,-0.02360797187374375,0.09114193174745147,,0.3549543084179548
Qwen3-8B,Success,5,Mid (4-6),persona_36,Foot in the Door,Hesitance,Personal Story,Foot in the Door -> Hesitance -> Personal Story,0.4961012522310543,0.09719725137048361,,0.049635244811216395,0.005685552368600494,,0.39890400086057065
Qwen3-8B,Success,6,Mid (4-6),persona_36,Personal Story,Hesitance,Self Modeling,Personal Story -> Hesitance -> Self Modeling,0.5100131291522773,0.06257847279850189,,0.013911876921222976,-0.03461877857198173,,0.4474346563537754
Qwen3-8B,Success,7,Late (7-10),persona_36,Self Modeling,Personal Choice,Personal Related Inquiry,Self Modeling -> Personal Choice -> Personal Related Inquiry,0.4626148275835782,0.3626569001096709,,-0.047398301568699064,0.300078427311169,,0.0999579274739073
Qwen3-8B,Success,8,Late (7-10),persona_36,Personal Related Inquiry,Personal Choice,Source Related Inquiry,Personal Related Inquiry -> Personal Choice -> Source Related Inquiry,0.45284297371022103,0.30500359691063533,,-0.009771853873357161,-0.057653303199035555,,0.1478393767995857
Qwen3-8B,Success,9,Late (7-10),persona_36,Source Related Inquiry,Hesitance,Task Related Inquiry,Source Related Inquiry -> Hesitance -> Task Related Inquiry,0.5400551177411042,0.17426578642210386,,0.08721214403088312,-0.13073781048853148,,0.36578933131900027
Qwen3-8B,Success,10,Late (7-10),persona_36,Task Related Inquiry,Others,Self Modeling,Task Related Inquiry -> Others -> Self Modeling,0.4707322352471057,0.5254123632513382,,-0.06932288249399843,0.35114657682923434,,-0.0546801280042325
Qwen3-8B,Fail,3,Early (2-3),persona_36,Emotion Appeal,Information Inquiry,Donation Information,Emotion Appeal -> Information Inquiry -> Donation Information,0.3418241992848348,0.17676807922529172,,-0.21273217593448263,-0.12677882002212645,,0.1650561200595431
Qwen3-8B,Fail,4,Mid (4-6),persona_36,Donation Information,Hesitance,Foot in the Door,Donation Information -> Hesitance -> Foot in the Door,0.4293904923108508,0.0029783289578689865,,0.08756629302601598,-0.17378975026742274,,0.4264121633529818
Qwen3-8B,Fail,5,Mid (4-6),persona_36,Foot in the Door,Hesitance,Personal Story,Foot in the Door -> Hesitance -> Personal Story,0.5081363205513353,0.001956477273544361,,0.07874582824048448,-0.0010218516843246254,,0.506179843277791
Qwen3-8B,Fail,6,Mid (4-6),persona_36,Personal Story,Others,Source Related Inquiry,Personal Story -> Others -> Source Related Inquiry,0.5003237145920234,0.014449928094026428,,-0.00781260595931188,0.012493450820482067,,0.48587378649799695
Qwen3-8B,Fail,7,Late (7-10),persona_36,Source Related Inquiry,Hesitance,Self Modeling,Source Related Inquiry -> Hesitance -> Self Modeling,0.45128597333359594,0.020873955398953033,,-0.04903774125842747,0.006424027304926605,,0.4304120179346429
Qwen3-8B,Fail,8,Late (7-10),persona_36,Self Modeling,Personal Choice,Personal Related Inquiry,Self Modeling -> Personal Choice -> Personal Related Inquiry,0.5530606185775669,0.2816618173682122,,0.10177464524397101,0.2607878619692592,,0.2713988012093547
Qwen3-8B,Fail,9,Late (7-10),persona_36,Personal Related Inquiry,Personal Choice,Task Related Inquiry,Personal Related Inquiry -> Personal Choice -> Task Related Inquiry,0.4616139084373625,0.39652381483918236,,-0.09144671014020445,0.11486199747097015,,0.06509009359818013
Qwen3-8B,Fail,10,Late (7-10),persona_36,Task Related Inquiry,Information Inquiry,Donation Information,Task Related Inquiry -> Information Inquiry -> Donation Information,0.4225145234845821,0.20595274820188295,,-0.03909938495278037,-0.19057106663729942,,0.21656177528269918
Qwen3-8B,Success,3,Early (2-3),persona_36,Emotion Appeal,Information Inquiry,Source Related Inquiry,Emotion Appeal -> Information Inquiry -> Source Related Inquiry,0.2773570866551149,0.0,,-0.27719928856420256,-0.3035468992474182,,0.2773570866551149
Qwen3-8B,Success,4,Mid (4-6),persona_36,Source Related Inquiry,Information Inquiry,Donation Information,Source Related Inquiry -> Information Inquiry -> Donation Information,0.41383143003840805,9.812308352146956e-05,,0.13647434338329317,9.812308352146956e-05,,0.4137333069548866
Qwen3-8B,Success,5,Mid (4-6),persona_36,Donation Information,Hesitance,Foot in the Door,Donation Information -> Hesitance -> Foot in the Door,0.46810382255245436,0.0010041463953188478,,0.05427239251404631,0.0009060233117973782,,0.4670996761571355
Qwen3-8B,Success,4,Mid (4-6),persona_36,Credibility Appeal,Hesitance,Task Related Inquiry,Credibility Appeal -> Hesitance -> Task Related Inquiry,0.4617045478767514,0.33659266887802186,,0.07168970767740462,0.029177572202017166,,0.12511187899872955
Qwen3-8B,Success,5,Mid (4-6),persona_36,Task Related Inquiry,Hesitance,Personal Story,Task Related Inquiry -> Hesitance -> Personal Story,0.4995931160618863,0.25333926234316173,,0.03788856818513486,-0.08325340653486013,,0.24625385371872455
Qwen3-8B,Success,6,Mid (4-6),persona_36,Personal Story,Hesitance,Foot in the Door,Personal Story -> Hesitance -> Foot in the Door,0.5084238998641492,0.02512256357011271,,0.008830783802262876,-0.228216698773049,,0.48330133629403643
Qwen3-8B,Success,4,Mid (4-6),persona_36,Credibility Appeal,Hesitance,Self Modeling,Credibility Appeal -> Hesitance -> Self Modeling,0.38816049915757256,0.2096533584007215,,-0.0018543410417742323,-0.0977617382752832,,0.17850714075685106
Qwen3-8B,Success,5,Mid (4-6),persona_36,Self Modeling,Personal Choice,Emotion Appeal,Self Modeling -> Personal Choice -> Emotion Appeal,0.4845684008107279,0.15137210044487287,,0.09640790165315533,-0.058281257955848625,,0.333196300365855
Qwen3-8B,Success,6,Mid (4-6),persona_36,Emotion Appeal,Hesitance,Foot in the Door,Emotion Appeal -> Hesitance -> Foot in the Door,0.47870321825426393,0.1220590340517098,,-0.005865182556463955,-0.02931306639316307,,0.3566441842025541
Qwen3-8B,Fail,5,Mid (4-6),persona_36,Foot in the Door,Hesitance,Personal Related Inquiry,Foot in the Door -> Hesitance -> Personal Related Inquiry,0.373913104454706,0.11317991992861702,,-0.13035336267254866,-0.03355197222274804,,0.26073318452608896
Qwen3-8B,Fail,6,Mid (4-6),persona_36,Personal Related Inquiry,Others,Self Modeling,Personal Related Inquiry -> Others -> Self Modeling,0.4913595775145762,0.01977427374769459,,0.11744647305987022,-0.09340564618092242,,0.4715853037668816
Qwen3-8B,Fail,7,Late (7-10),persona_36,Self Modeling,Hesitance,Self Modeling,Self Modeling -> Hesitance -> Self Modeling,0.5422614643086541,0.40183798278054245,,0.050901886794077866,0.38206370903284786,,0.14042348152811163
Qwen3-8B,Fail,8,Late (7-10),persona_36,Self Modeling,Others,Self Modeling,Self Modeling -> Others -> Self Modeling,0.5187458913531908,0.03258111176918554,,-0.02351557295546325,-0.3692568710113569,,0.4861647795840053
Qwen3-8B,Fail,9,Late (7-10),persona_36,Self Modeling,Others,Self Modeling,Self Modeling -> Others -> Self Modeling,0.559288766224663,0.014112654191549808,,0.04054287487147212,-0.01846845757763573,,0.5451761120331131
Qwen3-8B,Fail,10,Late (7-10),persona_36,Self Modeling,Others,Self Modeling,Self Modeling -> Others -> Self Modeling,0.6002888843196692,0.00026595862951053984,,0.041000118095006255,-0.013846695562039268,,0.6000229256901587
Qwen3-8B,Fail,5,Mid (4-6),persona_36,Foot in the Door,Hesitance,Personal Story,Foot in the Door -> Hesitance -> Personal Story,0.5015334450339524,0.0,,-0.002733022093302284,-0.14673189215136506,,0.5015334450339524
Qwen3-8B,Fail,6,Mid (4-6),persona_36,Personal Story,Personal Choice,Personal Related Inquiry,Personal Story -> Personal Choice -> Personal Related Inquiry,0.5134758966781854,0.30696409925756124,,0.01194245164423302,0.30696409925756124,,0.20651179742062414
Qwen3-8B,Fail,7,Late (7-10),persona_36,Personal Related Inquiry,Hesitance,Self Modeling,Personal Related Inquiry -> Hesitance -> Self Modeling,0.5226040379327305,0.604896414104233,,0.009128141254545086,0.29793231484667176,,-0.08229237617150253
Qwen3-8B,Fail,8,Late (7-10),persona_36,Self Modeling,Information Inquiry,Donation Information,Self Modeling -> Information Inquiry -> Donation Information,0.5084480585297403,0.0005008895407152689,,-0.014155979402990182,-0.6043955245635177,,0.507947168989025
Qwen3-8B,Fail,9,Late (7-10),persona_36,Donation Information,Hesitance,Source Related Inquiry,Donation Information -> Hesitance -> Source Related Inquiry,0.6178589748416794,0.3530435887293597,,0.10941091631193911,0.35254269918864445,,0.2648153861123197
Qwen3-8B,Fail,10,Late (7-10),persona_36,Source Related Inquiry,Hesitance,Foot in the Door,Source Related Inquiry -> Hesitance -> Foot in the Door,0.4760086130198577,0.19042940309740714,,-0.1418503618218217,-0.16261418563195257,,0.28557920992245056
Qwen3-8B,Fail,6,Mid (4-6),persona_36,Self Modeling,Hesitance,Personal Related Inquiry,Self Modeling -> Hesitance -> Personal Related Inquiry,0.49434740059086824,0.19406771129667325,,-0.09634394919805134,-0.25723537579718325,,0.300279689294195
Qwen3-8B,Fail,7,Late (7-10),persona_36,Personal Related Inquiry,Personal Choice,Personal Story,Personal Related Inquiry -> Personal Choice -> Personal Story,0.5231457807999393,0.30162821263212625,,0.028798380209071106,0.107560501335453,,0.2215175681678131
Qwen3-8B,Fail,8,Late (7-10),persona_36,Personal Story,Personal Choice,Personal Related Inquiry,Personal Story -> Personal Choice -> Personal Related Inquiry,0.5136921023142833,0.34429173372154637,,-0.009453678485656036,0.04266352108942012,,0.16940036859273694
Qwen3-8B,Fail,9,Late (7-10),persona_36,Personal Related Inquiry,Hesitance,Source Related Inquiry,Personal Related Inquiry -> Hesitance -> Source Related Inquiry,0.4639887574262236,0.30479151305847085,,-0.04970334488805972,-0.039500220663075514,,0.15919724436775273
Qwen3-8B,Fail,10,Late (7-10),persona_36,Source Related Inquiry,Hesitance,Self Modeling,Source Related Inquiry -> Hesitance -> Self Modeling,0.5918066346518228,0.6492281936588703,,0.12781787722559923,0.34443668060039945,,-0.057421559007047485
Qwen3-8B,Fail,6,Mid (4-6),persona_36,Self Modeling,Hesitance,Source Related Inquiry,Self Modeling -> Hesitance -> Source Related Inquiry,0.48412668509866624,0.0,,-0.10656466469025333,-0.4513030870938565,,0.48412668509866624
Qwen3-8B,Fail,7,Late (7-10),persona_36,Source Related Inquiry,Information Inquiry,Donation Information,Source Related Inquiry -> Information Inquiry -> Donation Information,0.5195267786097577,4.5747096390905444e-05,,0.03540009351109147,4.5747096390905444e-05,,0.5194810315133668
Qwen3-8B,Fail,8,Late (7-10),persona_36,Donation Information,Hesitance,Personal Story,Donation Information -> Hesitance -> Personal Story,0.5506774149195208,0.000560630751739354,,0.031150636309763113,0.0005148836553484486,,0.5501167841677814
Qwen3-8B,Fail,9,Late (7-10),persona_36,Personal Story,Personal Choice,Personal Related Inquiry,Personal Story -> Personal Choice -> Personal Related Inquiry,0.5148359199962581,0.1968360462677581,,-0.03584149492326272,0.19627541551601876,,0.3179998737285
Qwen3-8B,Fail,10,Late (7-10),persona_36,Personal Related Inquiry,Personal Choice,Foot in the Door,Personal Related Inquiry -> Personal Choice -> Foot in the Door,0.4472432998258173,0.19244891995294433,,-0.06759262017044082,-0.004387126314813777,,0.25479437987287296
Qwen3-8B,Fail,7,Late (7-10),persona_36,Task Related Inquiry,Personal Choice,Source Related Inquiry,Task Related Inquiry -> Personal Choice -> Source Related Inquiry,0.4914293052519368,0.0,,-0.03511894605164384,-0.45144518020970253,,0.4914293052519368
Qwen3-8B,Fail,8,Late (7-10),persona_36,Source Related Inquiry,Personal Choice,Personal Story,Source Related Inquiry -> Personal Choice -> Personal Story,0.5690169996154054,0.573233885168411,,0.07758769436346863,0.573233885168411,,-0.004216885553005589
Qwen3-8B,Fail,9,Late (7-10),persona_36,Personal Story,Hesitance,Personal Related Inquiry,Personal Story -> Hesitance -> Personal Related Inquiry,0.6462569579384863,0.29133994932073365,,0.07723995832308084,-0.28189393584767736,,0.3549170086177526
Qwen3-8B,Fail,10,Late (7-10),persona_36,Personal Related Inquiry,Others,Self Modeling,Personal Related Inquiry -> Others -> Self Modeling,0.580720340046171,0.37343386509581245,,-0.06553661789231524,0.0820939157750788,,0.20728647495035857
Qwen3-8B,Fail,7,Late (7-10),persona_36,Task Related Inquiry,Personal Choice,Logical Appeal,Task Related Inquiry -> Personal Choice -> Logical Appeal,0.47198685253367517,0.18876395747108607,,-0.054561398769905456,-0.2626812227386165,,0.28322289506258913
Qwen3-8B,Fail,8,Late (7-10),persona_36,Logical Appeal,Personal Choice,Personal Story,Logical Appeal -> Personal Choice -> Personal Story,0.49293595024869535,0.4252504095014487,,0.020949097715020182,0.23648645203036264,,0.06768554074724664
Qwen3-8B,Fail,9,Late (7-10),persona_36,Personal Story,Others,Donation Information,Personal Story -> Others -> Donation Information,0.48028617980040994,0.01412100161472294,,-0.012649770448285413,-0.41112940788672575,,0.466165178185687
Qwen3-8B,Fail,10,Late (7-10),persona_36,Donation Information,Others,Source Related Inquiry,Donation Information -> Others -> Source Related Inquiry,0.42648674796412855,0.07374600879790527,,-0.053799431836281386,0.05962500718318233,,0.3527407391662233
Qwen3-8B,Fail,8,Late (7-10),persona_36,Personal Related Inquiry,Hesitance,Source Related Inquiry,Personal Related Inquiry -> Hesitance -> Source Related Inquiry,0.493191707260631,0.19241921488576286,,-0.06894645935966248,0.08665140006554124,,0.30077249237486814
Qwen3-8B,Fail,9,Late (7-10),persona_36,Source Related Inquiry,Hesitance,Self Modeling,Source Related Inquiry -> Hesitance -> Self Modeling,0.42442117056903234,0.591325540983333,,-0.06877053669159866,0.39890632609757015,,-0.16690437041430067
Qwen3-8B,Fail,10,Late (7-10),persona_36,Self Modeling,Personal Choice,Foot in the Door,Self Modeling -> Personal Choice -> Foot in the Door,0.5614900376737099,0.15370010937589382,,0.13706886710467753,-0.43762543160743916,,0.407789928297816
Qwen3-8B,Fail,8,Late (7-10),persona_36,Personal Related Inquiry,Hesitance,Self Modeling,Personal Related Inquiry -> Hesitance -> Self Modeling,0.5768637163911056,0.2651521188379376,,0.014725549770812085,0.15938430401771597,,0.31171159755316796
Qwen3-8B,Fail,9,Late (7-10),persona_36,Self Modeling,Hesitance,Source Related Inquiry,Self Modeling -> Hesitance -> Source Related Inquiry,0.4782359067761183,0.05382671028487964,,-0.09862780961498724,-0.21132540855305795,,0.4244091964912387
Qwen3-8B,Fail,10,Late (7-10),persona_36,Source Related Inquiry,Information Inquiry,Donation Information,Source Related Inquiry -> Information Inquiry -> Donation Information,0.5568379206493286,0.00015393123525778873,,0.07860201387321025,-0.05367277904962185,,0.5566839894140708
Qwen3-8B,Fail,9,Late (7-10),persona_36,Foot in the Door,Others,Source Related Inquiry,Foot in the Door -> Others -> Source Related Inquiry,0.39838540636426734,0.18443608049080473,,-0.08503284322574861,-0.0415399749267083,,0.2139493258734626
Qwen3-8B,Fail,10,Late (7-10),persona_36,Source Related Inquiry,Others,Foot in the Door,Source Related Inquiry -> Others -> Foot in the Door,0.5242970942476791,0.09397501785878497,,0.12591168788341178,-0.09046106263201976,,0.43032207638889414
Qwen3-8B,Fail,9,Late (7-10),persona_36,Foot in the Door,Others,Self Modeling,Foot in the Door -> Others -> Self Modeling,0.4000822145023427,0.4354020755414554,,-0.08333603508767323,0.20942602012394235,,-0.035319861039112666
Qwen3-8B,Fail,10,Late (7-10),persona_36,Self Modeling,Others,Foot in the Door,Self Modeling -> Others -> Foot in the Door,0.4854696722576251,0.2884383327886347,,0.08538745775528239,-0.1469637427528207,,0.19703133946899043
Qwen3-8B,Success,2,Early (2-3),persona_36,Greeting,Others,Foot in the Door,Greeting -> Others -> Foot in the Door,0.4177402114183428,0.09133346787187534,,,,,0.3264067435464674
Qwen3-8B,Success,3,Early (2-3),persona_36,Foot in the Door,Information Inquiry,Personal Story,Foot in the Door -> Information Inquiry -> Personal Story,0.5241384609462252,0.45616130030084545,,0.1063982495278824,0.3648278324289701,,0.06797716064537973
Qwen3-8B,Success,4,Mid (4-6),persona_36,Personal Story,Information Inquiry,Credibility Appeal,Personal Story -> Information Inquiry -> Credibility Appeal,0.3910650747355157,0.41816416737575646,,-0.13307338621070947,-0.037997132925088994,,-0.02709909264024074
Qwen3-8B,Success,5,Mid (4-6),persona_36,Credibility Appeal,Hesitance,Personal Story,Credibility Appeal -> Hesitance -> Personal Story,0.48651846224671846,0.25865822596189647,,0.09545338751120275,-0.15950594141386,,0.227860236284822
Qwen3-8B,Success,6,Mid (4-6),persona_36,Personal Story,Self Pity,Foot in the Door,Personal Story -> Self Pity -> Foot in the Door,0.5533333466715572,0.00035869380369555714,,0.06681488442483874,-0.2582995321582009,,0.5529746528678616
Qwen3-8B,Success,2,Early (2-3),persona_36,Greeting,Others,Logical Appeal,Greeting -> Others -> Logical Appeal,0.49284932919367086,0.47215299076383516,,,,,0.020696338429835703
Qwen3-8B,Success,3,Early (2-3),persona_36,Logical Appeal,Information Inquiry,Credibility Appeal,Logical Appeal -> Information Inquiry -> Credibility Appeal,0.4205062134062176,0.3667815956383845,,-0.07234311578745328,-0.10537139512545063,,0.05372461776783305
Qwen3-8B,Success,4,Mid (4-6),persona_36,Credibility Appeal,Hesitance,Foot in the Door,Credibility Appeal -> Hesitance -> Foot in the Door,0.4742020321147745,0.06620072339070683,,0.05369581870855694,-0.3005808722476777,,0.4080013087240677
Qwen3-8B,Success,5,Mid (4-6),persona_36,Foot in the Door,Hesitance,Personal Story,Foot in the Door -> Hesitance -> Personal Story,0.4901937930149778,0.2059485525490353,,0.015991760900203267,0.13974782915832845,,0.28424524046594246
Qwen3-8B,Success,6,Mid (4-6),persona_36,Personal Story,Hesitance,Self Modeling,Personal Story -> Hesitance -> Self Modeling,0.5622543653156831,0.005642833275410258,,0.07206057230070528,-0.20030571927362503,,0.5566115320402728
Qwen3-8B,Success,7,Late (7-10),persona_36,Self Modeling,Hesitance,Foot in the Door,Self Modeling -> Hesitance -> Foot in the Door,0.48478344104024296,0.0022129725710146883,,-0.07747092427544011,-0.0034298607043955695,,0.48257046846922824
Qwen3-8B,Success,8,Late (7-10),persona_36,Foot in the Door,Personal Choice,Personal Related Inquiry,Foot in the Door -> Personal Choice -> Personal Related Inquiry,0.5431754553010495,0.3828660705622792,,0.058392014260806535,0.3806530979912645,,0.16030938473877027
Qwen3-8B,Success,9,Late (7-10),persona_36,Personal Related Inquiry,Personal Choice,Personal Story,Personal Related Inquiry -> Personal Choice -> Personal Story,0.40556663192351916,0.4826151350299788,,-0.13760882337753033,0.0997490644676996,,-0.07704850310645966
Qwen3-8B,Fail,3,Early (2-3),persona_36,Emotion Appeal,Information Inquiry,Source Related Inquiry,Emotion Appeal -> Information Inquiry -> Source Related Inquiry,0.3698003935599166,0.0,,-0.18475598165940083,-0.3035468992474182,,0.3698003935599166
Qwen3-8B,Fail,4,Mid (4-6),persona_36,Source Related Inquiry,Hesitance,Foot in the Door,Source Related Inquiry -> Hesitance -> Foot in the Door,0.4528706646308756,0.08555779593867092,,0.08307027107095899,0.08555779593867092,,0.3673128686922047
Qwen3-8B,Fail,5,Mid (4-6),persona_36,Foot in the Door,Hesitance,Foot in the Door,Foot in the Door -> Hesitance -> Foot in the Door,0.4812936807287983,0.005085440230234734,,0.028423016097922693,-0.0804723557084362,,0.4762082404985636
Qwen3-8B,Fail,6,Mid (4-6),persona_36,Foot in the Door,Personal Choice,Foot in the Door,Foot in the Door -> Personal Choice -> Foot in the Door,0.4982150398626725,0.0076210735309157444,,0.016921359133874214,0.0025356333006810103,,0.4905939663317568
Qwen3-8B,Fail,7,Late (7-10),persona_36,Foot in the Door,Others,Foot in the Door,Foot in the Door -> Others -> Foot in the Door,0.5009781522650475,0.1359327735958693,,0.0027631124023749787,0.12831170006495357,,0.3650453786691782
Qwen3-8B,Fail,8,Late (7-10),persona_36,Foot in the Door,Personal Choice,Foot in the Door,Foot in the Door -> Personal Choice -> Foot in the Door,0.49823811408948965,0.011974297243948863,,-0.0027400381755578462,-0.12395847635192045,,0.48626381684554076
Qwen3-8B,Fail,9,Late (7-10),persona_36,Foot in the Door,Personal Choice,Foot in the Door,Foot in the Door -> Personal Choice -> Foot in the Door,0.47481057842989194,0.013160428741828406,,-0.02342753565959771,0.0011861314978795431,,0.4616501496880635
Qwen3-8B,Fail,10,Late (7-10),persona_36,Foot in the Door,Others,Foot in the Door,Foot in the Door -> Others -> Foot in the Door,0.5540024184660791,0.1931221308668604,,0.07919184003618718,0.17996170212503199,,0.36088028759921875
Qwen3-8B,Fail,3,Early (2-3),persona_36,Emotion Appeal,Information Inquiry,Donation Information,Emotion Appeal -> Information Inquiry -> Donation Information,0.2983640489597259,0.0,,-0.25619232625959154,-0.3035468992474182,,0.2983640489597259
Qwen3-8B,Fail,4,Mid (4-6),persona_36,Donation Information,Hesitance,Foot in the Door,Donation Information -> Hesitance -> Foot in the Door,0.4386805988817169,0.4177280031960182,,0.140316549921991,0.4177280031960182,,0.020952595685698683
Qwen3-8B,Fail,5,Mid (4-6),persona_36,Foot in the Door,Others,Personal Story,Foot in the Door -> Others -> Personal Story,0.4753872034634438,0.2338715740873069,,0.03670660458172692,-0.1838564291087113,,0.2415156293761369
Qwen3-8B,Fail,6,Mid (4-6),persona_36,Personal Story,Hesitance,Foot in the Door,Personal Story -> Hesitance -> Foot in the Door,0.4396011215461341,0.00248735909431958,,-0.0357860819173097,-0.23138421499298734,,0.43711376245181455
Qwen3-8B,Fail,7,Late (7-10),persona_36,Foot in the Door,Others,Foot in the Door,Foot in the Door -> Others -> Foot in the Door,0.4369951481096071,0.005549690827034811,,-0.0026059734365270204,0.0030623317327152307,,0.4314454572825723
Qwen3-8B,Fail,8,Late (7-10),persona_36,Foot in the Door,Hesitance,Foot in the Door,Foot in the Door -> Hesitance -> Foot in the Door,0.5428807260541471,0.0011612858777281384,,0.10588557794453995,-0.004388404949306673,,0.5417194401764189
Qwen3-8B,Fail,9,Late (7-10),persona_36,Foot in the Door,Others,Foot in the Door,Foot in the Door -> Others -> Foot in the Door,0.5365770753185704,0.003355193057940713,,-0.006303650735576705,0.002193907180212574,,0.5332218822606296
Qwen3-8B,Fail,10,Late (7-10),persona_36,Foot in the Door,Hesitance,Foot in the Door,Foot in the Door -> Hesitance -> Foot in the Door,0.4775058195265449,0.0044332154408670355,,-0.059071255792025434,0.0010780223829263227,,0.47307260408567786
Qwen3-8B,Success,4,Mid (4-6),persona_36,Credibility Appeal,Hesitance,Personal Story,Credibility Appeal -> Hesitance -> Personal Story,0.3483019534437862,0.33326228421614335,,-0.04171288675556056,0.02584718754013865,,0.015039669227642882
Qwen3-8B,Success,5,Mid (4-6),persona_36,Personal Story,Hesitance,Foot in the Door,Personal Story -> Hesitance -> Foot in the Door,0.44555172647485747,0.007631706284495041,,0.09724977303107124,-0.3256305779316483,,0.4379200201903624
Qwen3-8B,Success,6,Mid (4-6),persona_36,Foot in the Door,Hesitance,Self Modeling,Foot in the Door -> Hesitance -> Self Modeling,0.5141918199592084,0.4082914545881747,,0.0686400934843509,0.4006597483036796,,0.1059003653710337
Qwen3-8B,Success,7,Late (7-10),persona_36,Self Modeling,Personal Choice,Foot in the Door,Self Modeling -> Personal Choice -> Foot in the Door,0.5659785534045269,0.04128620706407193,,0.05178673344531848,-0.36700524752410274,,0.5246923463404549
Qwen3-8B,Success,8,Late (7-10),persona_36,Foot in the Door,Hesitance,Foot in the Door,Foot in the Door -> Hesitance -> Foot in the Door,0.5454708244964487,0.0068628665879157166,,-0.02050772890807817,-0.03442334047615621,,0.538607957908533
