Scenario,Big_Five,Decision,Turn,Score
Rescue Potential,Neuroticism,Directive,3,0.0
Rescue Potential,Neuroticism,Directive,4,0.0
Rescue Potential,Neuroticism,Directive,5,0.0
Rescue Potential,Neuroticism,Directive,6,0.25
Rescue Potential,Neuroticism,Directive,7,0.0
Rescue Potential,Neuroticism,Directive,8,0.0
Rescue Potential,Neuroticism,Directive,9,0.0
Rescue Potential,Neuroticism,Directive,10,0.0
Rescue Potential,Conscientiousness,Conceptual,2,0.0
Rescue Potential,Conscientiousness,Conceptual,3,0.0
Rescue Potential,Conscientiousness,Conceptual,4,0.25
Rescue Potential,Conscientiousness,Conceptual,5,0.0
Rescue Potential,Conscientiousness,Conceptual,6,0.25
Rescue Potential,Conscientiousness,Conceptual,7,0.0
Rescue Potential,Conscientiousness,Conceptual,8,0.0
Rescue Potential,Conscientiousness,Conceptual,9,0.0
Rescue Potential,Conscientiousness,Conceptual,10,0.0
Vulnerability,Agreeableness,Conceptual,2,0.5
Vulnerability,Agreeableness,Conceptual,3,0.25
Vulnerability,Agreeableness,Conceptual,4,0.5
Vulnerability,Agreeableness,Conceptual,5,0.5
Vulnerability,Agreeableness,Conceptual,6,1.0
Vulnerability,Agreeableness,Conceptual,7,0.5
Rescue Potential,Openness,Directive,2,0.25
Rescue Potential,Openness,Directive,3,0.25
Rescue Potential,Openness,Directive,4,0.0
Rescue Potential,Openness,Directive,5,0.0
Rescue Potential,Openness,Directive,6,0.25
Rescue Potential,Openness,Directive,7,0.25
Rescue Potential,Openness,Directive,8,0.25
Rescue Potential,Openness,Directive,9,0.0
Rescue Potential,Openness,Directive,10,0.0
Rescue Potential,Agreeableness,Analytical,2,0.5
Rescue Potential,Agreeableness,Analytical,3,0.5
Rescue Potential,Agreeableness,Analytical,4,0.5
Rescue Potential,Agreeableness,Analytical,5,0.0
Rescue Potential,Agreeableness,Analytical,6,0.5
Rescue Potential,Agreeableness,Analytical,7,0.5
Rescue Potential,Agreeableness,Analytical,8,0.5
Rescue Potential,Agreeableness,Analytical,9,0.5
Rescue Potential,Agreeableness,Analytical,10,0.25
Rescue Potential,Neuroticism,Directive,2,0.0
Rescue Potential,Neuroticism,Directive,3,0.0
Rescue Potential,Neuroticism,Directive,4,0.5
Rescue Potential,Neuroticism,Directive,5,0.5
Rescue Potential,Neuroticism,Directive,6,0.0
Rescue Potential,Neuroticism,Directive,7,0.0
Rescue Potential,Neuroticism,Directive,8,0.0
Rescue Potential,Neuroticism,Directive,9,0.0
Rescue Potential,Neuroticism,Directive,10,0.0
Vulnerability,Neuroticism,Analytical,2,0.25
Vulnerability,Neuroticism,Analytical,3,0.25
Vulnerability,Neuroticism,Analytical,4,0.5
Vulnerability,Neuroticism,Analytical,5,0.5
Vulnerability,Neuroticism,Analytical,6,0.25
Vulnerability,Neuroticism,Analytical,7,0.75
Vulnerability,Neuroticism,Analytical,8,0.75
Vulnerability,Neuroticism,Analytical,9,0.75
Vulnerability,Openness,Behavioral,2,0.5
Vulnerability,Openness,Behavioral,3,0.5
Vulnerability,Openness,Behavioral,4,0.75
Vulnerability,Openness,Behavioral,5,0.5
Vulnerability,Openness,Behavioral,6,0.0
Vulnerability,Agreeableness,Directive,2,0.25
Vulnerability,Agreeableness,Directive,3,0.25
Vulnerability,Agreeableness,Directive,4,0.25
Vulnerability,Agreeableness,Directive,5,0.25
Rescue Potential,Extraversion,Behavioral,2,0.75
Rescue Potential,Extraversion,Behavioral,3,0.75
Rescue Potential,Extraversion,Behavioral,4,0.25
Rescue Potential,Extraversion,Behavioral,5,1.0
Rescue Potential,Extraversion,Behavioral,6,0.25
Rescue Potential,Extraversion,Behavioral,7,0.5
Rescue Potential,Extraversion,Behavioral,8,0.5
Rescue Potential,Extraversion,Behavioral,9,0.25
Rescue Potential,Extraversion,Behavioral,10,0.25
Rescue Potential,Extraversion,Behavioral,2,0.25
Rescue Potential,Extraversion,Behavioral,3,0.5
Rescue Potential,Extraversion,Behavioral,4,0.0
Rescue Potential,Extraversion,Behavioral,5,0.0
Rescue Potential,Extraversion,Behavioral,6,0.0
Rescue Potential,Extraversion,Behavioral,7,0.0
Rescue Potential,Extraversion,Behavioral,8,0.0
Rescue Potential,Extraversion,Behavioral,9,0.0
Rescue Potential,Extraversion,Behavioral,10,0.0
Rescue Potential,Conscientiousness,Directive,2,0.25
Rescue Potential,Conscientiousness,Directive,3,0.0
Rescue Potential,Conscientiousness,Directive,4,0.0
Rescue Potential,Conscientiousness,Directive,5,0.25
Rescue Potential,Conscientiousness,Directive,6,0.0
Rescue Potential,Conscientiousness,Directive,7,0.0
Rescue Potential,Conscientiousness,Directive,8,0.0
Rescue Potential,Conscientiousness,Directive,9,0.0
Rescue Potential,Conscientiousness,Directive,10,0.0
